decision_id,run_id,run_name,run_status,input_fingerprint,event_index,as_of_time,mode,bot_id,bot_name,base_personality,llm_provider,model,prompt_version,prompt_hash,action,ticker,quantity,limit_price,confidence,speculative,reasoning_length,headline_used,evidence_count,evidence_url_count,risk_checked,risk_approved,risk_blocked,risk_reason,fill_count,fill_qty_total,fill_avg_price,current_price,next_event_price,return_next_event,signed_return_next_event,directional_correct_next_event,intent_mark_pnl_next_event,benchmark_symbol,benchmark_price,benchmark_next_event_price,benchmark_return_next_event,excess_return_vs_benchmark_next_event,beat_benchmark_next_event,headline_count,real_headline_count,synthetic_headline_count,ticker_headline_count,macro_headline_count,filing_headline_count,earnings_headline_count,headline_source_count,headline_sources,headline_age_minutes_min,headline_age_minutes_avg,has_real_news,has_synthetic_market_summary,news_context_quality,event_spy_return_1d,event_qqq_return_1d,event_tlt_return_1d,event_gld_return_1d,event_risk_regime,event_trend_regime,event_volatility_regime,event_breadth_proxy,ticker_return_1d,ticker_return_5d,ticker_return_20d,ticker_rolling_volatility_20d,ticker_volume_ratio_20d,ticker_gap_from_previous_close,ticker_distance_from_20d_ma
141,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,184,,0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
142,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,QQQ,100,,0.55,0,203,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,1,0,1,order notional exceeds max_order_notional=25000.00,0,0,,605.79,603.47,-0.00382971,0.00382971,1,232.000002,SPY,686.29,684.48,-0.00263737,0.00646708,1,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,0.0
143,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.3,0,146,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
519,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.18,0,139,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
520,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,HOLD,,,,0.39,0,133,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
521,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.62,0,129,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
144,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,167,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
145,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,QQQ,80,,0.55,0,183,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,1,0,1,order notional exceeds max_order_notional=25000.00,0,0,,603.47,608.81,0.00884882,-0.00884882,0,-427.199792,SPY,684.48,689.43,0.00723177,-0.01608059,0,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,-0.00383,,,,0.948796,-0.004919,-0.001919
146,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.3,0,142,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
522,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.92,0,179,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
