decision_id,run_id,run_name,run_status,input_fingerprint,event_index,as_of_time,mode,bot_id,bot_name,base_personality,llm_provider,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_estimated_cost_usd,model,prompt_version,prompt_hash,action,ticker,quantity,limit_price,confidence,speculative,reasoning_length,headline_used,evidence_count,evidence_url_count,risk_checked,risk_approved,risk_blocked,risk_reason,fill_count,fill_qty_total,fill_avg_price,current_price,next_event_price,return_next_event,signed_return_next_event,directional_correct_next_event,intent_mark_pnl_next_event,benchmark_symbol,benchmark_price,benchmark_next_event_price,benchmark_return_next_event,excess_return_vs_benchmark_next_event,beat_benchmark_next_event,future_price_1d,future_return_1d,future_signed_return_1d,directional_correct_1d,profitable_1d,intent_mark_pnl_1d,benchmark_future_price_1d,benchmark_return_1d,excess_return_vs_benchmark_1d,beat_benchmark_1d,large_loss_1d,high_confidence_wrong_1d,future_price_3d,future_return_3d,future_signed_return_3d,directional_correct_3d,profitable_3d,intent_mark_pnl_3d,benchmark_future_price_3d,benchmark_return_3d,excess_return_vs_benchmark_3d,beat_benchmark_3d,large_loss_3d,high_confidence_wrong_3d,future_price_7d,future_return_7d,future_signed_return_7d,directional_correct_7d,profitable_7d,intent_mark_pnl_7d,benchmark_future_price_7d,benchmark_return_7d,excess_return_vs_benchmark_7d,beat_benchmark_7d,large_loss_7d,high_confidence_wrong_7d,confidence_bucket,event_best_long_ticker_1d,event_best_long_return_1d,event_worst_ticker_1d,event_worst_return_1d,event_best_abs_ticker_1d,event_best_abs_return_1d,hold_missed_big_move_1d,headline_count,real_headline_count,synthetic_headline_count,ticker_headline_count,macro_headline_count,filing_headline_count,earnings_headline_count,headline_source_count,headline_sources,headline_age_minutes_min,headline_age_minutes_avg,has_real_news,has_synthetic_market_summary,news_context_quality,event_spy_return_1d,event_qqq_return_1d,event_tlt_return_1d,event_gld_return_1d,event_risk_regime,event_trend_regime,event_volatility_regime,event_breadth_proxy,ticker_return_1d,ticker_return_5d,ticker_return_20d,ticker_rolling_volatility_20d,ticker_volume_ratio_20d,ticker_gap_from_previous_close,ticker_distance_from_20d_ma
141,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,,,,,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,184,,0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,,,,,,,684.48,-0.00263737,,,,,,,,,,,682.39,-0.00568273,,,,,,,,,,,685.99,-0.00043713,,,,,low,DE,0.11584944,BA,-0.0218474,DE,0.11584944,1,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
142,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,,,,,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,QQQ,100,,0.55,0,203,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,1,0,1,order notional exceeds max_order_notional=25000.00,0,0,,605.79,603.47,-0.00382971,0.00382971,1,232.000002,SPY,686.29,684.48,-0.00263737,0.00646708,1,603.47,-0.00382971,0.00382971,1,1,232.000002,684.48,-0.00263737,0.00646708,1,0,0,601.41,-0.00723023,0.00723023,1,1,438.000103,682.39,-0.00568273,0.01291296,1,0,0,607.29,0.00247611,-0.00247611,0,0,-150.000268,685.99,-0.00043713,-0.00203898,0,0,0,medium,DE,0.11584944,BA,-0.0218474,DE,0.11584944,0,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,0.0
143,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,,,,,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.3,0,146,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,,,,,,,684.48,-0.00263737,,,,,,,,,,,682.39,-0.00568273,,,,,,,,,,,685.99,-0.00043713,,,,,low,DE,0.11584944,BA,-0.0218474,DE,0.11584944,1,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
519,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,,,,,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.18,0,139,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,,,,,,,684.48,-0.00263737,,,,,,,,,,,682.39,-0.00568273,,,,,,,,,,,685.99,-0.00043713,,,,,low,DE,0.11584944,BA,-0.0218474,DE,0.11584944,1,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
520,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,,,,,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,HOLD,,,,0.39,0,133,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,,,,,,,684.48,-0.00263737,,,,,,,,,,,682.39,-0.00568273,,,,,,,,,,,685.99,-0.00043713,,,,,low,DE,0.11584944,BA,-0.0218474,DE,0.11584944,1,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
521,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,0,2026-02-18T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,,,,,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.62,0,129,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,686.29,684.48,-0.00263737,,,,,,,,,684.48,-0.00263737,,,,,,,,,,,682.39,-0.00568273,,,,,,,,,,,685.99,-0.00043713,,,,,medium,DE,0.11584944,BA,-0.0218474,DE,0.11584944,1,8,8,0,0,1,0,0,4,Federal Reserve;benzinga.com;fool.com;investing.com,60.0,240.0,1,0,news_enriched,,,,,neutral,unknown,unknown,,,,,,,,
144,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,,,,,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,167,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,,,,,,,689.43,0.00723177,,,,,,,,,,,687.35,0.00419296,,,,,,,,,,,686.38,0.00277583,,,,,low,GOOGL,0.04005283,ORCL,-0.05404369,ORCL,0.05404369,1,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
145,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,,,,,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,QQQ,80,,0.55,0,183,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,1,0,1,order notional exceeds max_order_notional=25000.00,0,0,,603.47,608.81,0.00884882,-0.00884882,0,-427.199792,SPY,684.48,689.43,0.00723177,-0.01608059,0,608.81,0.00884882,-0.00884882,0,0,-427.199792,689.43,0.00723177,-0.01608059,0,0,0,607.87,0.00729117,-0.00729117,0,0,-352.000189,687.35,0.00419296,-0.01148413,0,0,0,608.09,0.00765572,-0.00765572,0,0,-369.599788,686.38,0.00277583,-0.01043155,0,0,0,medium,GOOGL,0.04005283,ORCL,-0.05404369,ORCL,0.05404369,0,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,-0.00383,,,,0.948796,-0.004919,-0.001919
146,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,,,,,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.3,0,142,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,,,,,,,689.43,0.00723177,,,,,,,,,,,687.35,0.00419296,,,,,,,,,,,686.38,0.00277583,,,,,low,GOOGL,0.04005283,ORCL,-0.05404369,ORCL,0.05404369,1,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
522,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,,,,,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.92,0,179,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,,,,,,,689.43,0.00723177,,,,,,,,,,,687.35,0.00419296,,,,,,,,,,,686.38,0.00277583,,,,,high,GOOGL,0.04005283,ORCL,-0.05404369,ORCL,0.05404369,1,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
523,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,,,,,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,HOLD,,,,0.86,0,166,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,,,,,,,689.43,0.00723177,,,,,,,,,,,687.35,0.00419296,,,,,,,,,,,686.38,0.00277583,,,,,high,GOOGL,0.04005283,ORCL,-0.05404369,ORCL,0.05404369,1,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
524,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,,,,,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.89,0,163,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,,,,,,,689.43,0.00723177,,,,,,,,,,,687.35,0.00419296,,,,,,,,,,,686.38,0.00277583,,,,,high,GOOGL,0.04005283,ORCL,-0.05404369,ORCL,0.05404369,1,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
147,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,,,,,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,143,,0,0,0,,0,,0,0,,,,,,,,SPY,689.43,682.39,-0.01021133,,,,,,,,,682.39,-0.01021133,,,,,,,,,,,693.15,0.00539576,,,,,,,,,,,680.33,-0.01319931,,,,,low,LLY,0.04857764,IBM,-0.13147457,IBM,0.13147457,1,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,,,,,,,
